<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20140404;000000;8425.4000000;8514.0000000;8358.0000000;8430.0000000;110492
MGNT;D;20140407;000000;8340.2000000;8361.2000000;8105.0000000;8270.0000000;253607
MGNT;D;20140408;000000;8260.0000000;8268.8000000;8020.0000000;8242.4000000;171364
MGNT;D;20140409;000000;8170.0000000;8221.8000000;7930.1000000;7980.0000000;256438
MGNT;D;20140410;000000;8050.0000000;8099.9000000;7824.0000000;7830.0000000;237181
MGNT;D;20140411;000000;7785.0000000;7865.0000000;7700.0000000;7820.0000000;148673
MGNT;D;20140414;000000;7780.0000000;7799.9000000;7625.0000000;7700.0000000;153006
MGNT;D;20140415;000000;7690.5000000;7784.0000000;7552.2000000;7620.0000000;122407
MGNT;D;20140416;000000;7638.0000000;7738.0000000;7501.2000000;7663.5000000;148695
MGNT;D;20140417;000000;7681.0000000;7796.0000000;7591.0000000;7750.0000000;133560
MGNT;D;20140418;000000;7939.9000000;7939.9000000;7770.0000000;7800.0000000;121878
MGNT;D;20140421;000000;7820.1000000;7836.1000000;7725.0000000;7754.8000000;73431
MGNT;D;20140422;000000;7775.5000000;7775.9000000;7523.2000000;7680.0000000;189363
MGNT;D;20140423;000000;7680.4000000;7694.0000000;7426.6000000;7520.0000000;168866
MGNT;D;20140424;000000;7508.3000000;7535.0000000;7015.3000000;7149.0000000;252478
MGNT;D;20140425;000000;7090.0000000;7090.0000000;6817.1000000;6850.0000000;188932
MGNT;D;20140428;000000;6839.9000000;6839.9000000;6565.3000000;6670.0000000;253825
MGNT;D;20140429;000000;6766.9000000;6880.7000000;6631.1000000;6770.0000000;147594
MGNT;D;20140430;000000;6761.1000000;7081.0000000;6738.5000000;7066.8000000;300697
MGNT;D;20140502;000000;7045.0000000;7279.0000000;6903.0000000;7250.0000000;153314
MGNT;D;20140505;000000;7200.9000000;7215.0000000;7103.0000000;7200.0000000;88954
MGNT;D;20140506;000000;7215.0000000;7361.7000000;7210.1000000;7340.0000000;162516
MGNT;D;20140507;000000;7330.2000000;7646.6000000;7292.1000000;7520.0000000;216355
MGNT;D;20140508;000000;7529.0000000;7750.0000000;7440.1000000;7750.0000000;309447
MGNT;D;20140512;000000;7720.5000000;7799.6000000;7559.5000000;7720.0000000;159313
MGNT;D;20140513;000000;7720.0000000;7977.9000000;7714.4000000;7900.0000000;282695
MGNT;D;20140514;000000;7914.0000000;7957.5000000;7842.3000000;7900.0000000;103326
MGNT;D;20140515;000000;7880.9000000;7950.0000000;7751.0000000;7822.0000000;143722
MGNT;D;20140516;000000;7822.0000000;7900.0000000;7652.2000000;7880.0000000;116066
MGNT;D;20140519;000000;7880.0000000;8044.7000000;7845.0000000;7990.0000000;166960
MGNT;D;20140520;000000;8009.8000000;8222.0000000;7986.8000000;8200.0000000;270237
MGNT;D;20140521;000000;8219.8000000;8270.0000000;8038.3000000;8230.0000000;221196
MGNT;D;20140522;000000;8230.0000000;8250.0000000;8106.1000000;8250.0000000;93935
MGNT;D;20140523;000000;8212.0000000;8340.0000000;8162.6000000;8340.0000000;146896
MGNT;D;20140526;000000;8340.0000000;8390.1000000;8282.0000000;8360.0000000;134232
MGNT;D;20140527;000000;8340.1000000;8379.0000000;8200.0000000;8379.0000000;140561
MGNT;D;20140528;000000;8331.0000000;8610.0000000;8305.0000000;8610.0000000;136729
MGNT;D;20140529;000000;8600.0000000;8996.6000000;8586.7000000;8950.0000000;197320
MGNT;D;20140530;000000;8969.9000000;9039.6000000;8730.0000000;8810.0000000;121114
MGNT;D;20140602;000000;8799.9000000;8978.0000000;8799.9000000;8880.0000000;165099
MGNT;D;20140603;000000;8840.0000000;8930.0000000;8763.1000000;8930.0000000;128268
MGNT;D;20140604;000000;8899.0000000;8970.0000000;8711.0000000;8970.0000000;99632
MGNT;D;20140605;000000;8946.0000000;9009.8000000;8882.2000000;8928.8000000;130492
MGNT;D;20140606;000000;8925.9000000;9031.9000000;8784.2000000;8980.0000000;166548
MGNT;D;20140609;000000;8999.7000000;9029.9000000;8905.4000000;8949.0000000;68447
MGNT;D;20140610;000000;8923.3000000;9100.0000000;8845.0000000;9100.0000000;120241
MGNT;D;20140611;000000;9076.8000000;9158.7000000;9019.9000000;9070.0000000;109046
MGNT;D;20140616;000000;9018.0000000;9019.0000000;8800.1000000;8899.0000000;414698
MGNT;D;20140617;000000;8881.8000000;8891.6000000;8712.3000000;8799.0000000;144954
MGNT;D;20140618;000000;8801.0000000;8912.0000000;8771.0000000;8912.0000000;93146
MGNT;D;20140619;000000;8937.0000000;8989.0000000;8850.0000000;8890.0000000;82601
MGNT;D;20140620;000000;8851.0000000;8917.6000000;8731.2000000;8815.0000000;103040
MGNT;D;20140623;000000;8844.8000000;8884.9000000;8755.0000000;8869.7000000;104377
MGNT;D;20140624;000000;8884.9000000;9118.0000000;8851.1000000;9118.0000000;139289
MGNT;D;20140625;000000;9088.0000000;9088.0000000;8912.0000000;8940.0000000;91424
MGNT;D;20140626;000000;8952.0000000;8952.0000000;8805.0000000;8898.0000000;86248
MGNT;D;20140627;000000;8881.2000000;8898.7000000;8755.0000000;8820.0000000;73396
MGNT;D;20140630;000000;8820.0000000;8927.0000000;8735.5000000;8860.0000000;92974
MGNT;D;20140701;000000;8843.3000000;9073.7000000;8739.0000000;9068.0000000;129895
MGNT;D;20140702;000000;9034.0000000;9369.9000000;9016.1000000;9369.9000000;143156
MGNT;D;20140703;000000;9379.0000000;9435.7000000;9221.0000000;9339.9000000;117321
MGNT;D;20140704;000000;9329.0000000;9350.0000000;9206.7000000;9249.7000000;103738
MGNT;D;20140707;000000;9240.0000000;9480.0000000;9160.0000000;9480.0000000;113166
MGNT;D;20140708;000000;9470.0000000;9682.8000000;9462.1000000;9550.0000000;154606
MGNT;D;20140709;000000;9521.6000000;9671.9000000;9460.1000000;9660.0000000;150466
MGNT;D;20140710;000000;9670.0000000;9864.2000000;9653.0000000;9765.2000000;270870
MGNT;D;20140711;000000;9802.0000000;9953.9000000;9700.0000000;9890.0000000;132926
MGNT;D;20140714;000000;9891.1000000;10030.0000000;9850.0000000;9950.0000000;147066
MGNT;D;20140715;000000;9969.9000000;10034.8000000;9761.2000000;9800.0000000;147864
MGNT;D;20140716;000000;9767.0000000;9949.0000000;9704.5000000;9850.0000000;117708
MGNT;D;20140717;000000;9761.2000000;9819.8000000;9581.7000000;9640.0000000;288003
MGNT;D;20140718;000000;9243.1000000;9503.7000000;9231.0000000;9475.0000000;185419
MGNT;D;20140721;000000;9484.9000000;9487.3000000;9275.7000000;9285.1000000;154552
MGNT;D;20140722;000000;9367.0000000;9411.9000000;9275.0000000;9380.0000000;136585
MGNT;D;20140723;000000;9393.0000000;9880.0000000;9390.6000000;9880.0000000;225326
MGNT;D;20140724;000000;9855.0000000;10057.0000000;9741.2000000;9999.9000000;147745
MGNT;D;20140725;000000;9962.9000000;9984.9000000;9555.5000000;9650.0000000;224891
MGNT;D;20140728;000000;9570.0000000;9720.0000000;9470.0000000;9610.0000000;104594
MGNT;D;20140729;000000;9630.0000000;9734.0000000;9430.0000000;9450.0000000;112662
MGNT;D;20140730;000000;9390.9000000;9577.0000000;9186.6000000;9240.0000000;162965
MGNT;D;20140731;000000;9245.1000000;9405.0000000;9092.1000000;9150.0000000;119832
MGNT;D;20140801;000000;9090.0000000;9216.0000000;9025.0000000;9209.0000000;124322
MGNT;D;20140804;000000;9174.0000000;9340.0000000;9132.0000000;9340.0000000;73480
MGNT;D;20140805;000000;9370.0000000;9381.0000000;9072.0000000;9247.0000000;101850
MGNT;D;20140806;000000;9178.9000000;9350.0000000;9050.0000000;9120.0000000;149338
MGNT;D;20140807;000000;9043.0000000;9114.1000000;8568.1000000;8648.0000000;245798
MGNT;D;20140808;000000;8600.1000000;8958.0000000;8505.1000000;8940.0000000;195029
MGNT;D;20140811;000000;8958.0000000;9145.0000000;8872.1000000;9025.0000000;91216
MGNT;D;20140812;000000;9025.0000000;9095.7000000;8953.0000000;9075.0000000;78674
MGNT;D;20140813;000000;9050.0000000;9215.0000000;9032.9000000;9199.0000000;116807
MGNT;D;20140814;000000;9153.0000000;9275.0000000;9102.8000000;9260.0000000;141697
MGNT;D;20140815;000000;9230.3000000;9482.8000000;9170.4000000;9384.0000000;85079
MGNT;D;20140818;000000;9370.0000000;9579.0000000;9319.3000000;9565.0000000;52958
MGNT;D;20140819;000000;9604.9000000;9629.8000000;9478.2000000;9550.0000000;69700
MGNT;D;20140820;000000;9549.0000000;9589.9000000;9371.2000000;9450.0000000;66913
MGNT;D;20140821;000000;9450.0000000;9700.7000000;9422.7000000;9700.7000000;70858
MGNT;D;20140822;000000;9707.9000000;9735.2000000;9560.6000000;9690.0000000;65399
MGNT;D;20140825;000000;9657.0000000;9707.3000000;9587.6000000;9698.0000000;26598
MGNT;D;20140826;000000;9729.5000000;9918.5000000;9700.1000000;9769.9000000;72866
MGNT;D;20140827;000000;9783.9000000;9843.0000000;9582.0000000;9669.0000000;82546
MGNT;D;20140828;000000;9630.0000000;9630.0000000;9260.1000000;9345.0000000;185150
MGNT;D;20140829;000000;9280.1000000;9439.2000000;9050.0000000;9099.0000000;161094
MGNT;D;20140901;000000;9199.1000000;9199.1000000;8770.0000000;8900.0000000;188431
MGNT;D;20140902;000000;8751.9000000;9039.2000000;8751.2000000;9010.0000000;92966
MGNT;D;20140903;000000;8950.0000000;9437.0000000;8905.4000000;9409.2000000;180460
MGNT;D;20140904;000000;9386.0000000;9508.6000000;9265.0000000;9508.0000000;77336
MGNT;D;20140905;000000;9430.5000000;9869.6000000;9373.1000000;9750.0000000;255791
MGNT;D;20140908;000000;9696.0000000;9787.7000000;9543.2000000;9590.0000000;76859
MGNT;D;20140909;000000;9611.9000000;9780.0000000;9590.0000000;9760.0000000;89825
MGNT;D;20140910;000000;9702.1000000;9843.6000000;9622.3000000;9810.0000000;74448
MGNT;D;20140911;000000;9824.9000000;9944.3000000;9792.3000000;9929.0000000;128528
MGNT;D;20140912;000000;9888.8000000;10000.0000000;9790.0000000;9924.7000000;96474
MGNT;D;20140915;000000;9921.6000000;9988.0000000;9725.0000000;9877.0000000;218521
MGNT;D;20140916;000000;9860.0000000;10034.5000000;9804.6000000;10000.0000000;251368
MGNT;D;20140917;000000;10015.0000000;10089.0000000;9729.4000000;9812.0000000;136004
MGNT;D;20140918;000000;9800.0000000;9930.9000000;9625.1000000;9840.0000000;135482
MGNT;D;20140919;000000;9890.0000000;9897.0000000;9646.2000000;9650.0000000;140025
MGNT;D;20140922;000000;9640.1000000;9745.0000000;9503.3000000;9530.0000000;131314
MGNT;D;20140923;000000;9568.9000000;9789.5000000;9516.2000000;9750.0000000;108365
MGNT;D;20140924;000000;9780.0000000;10030.0000000;9760.1000000;9940.0000000;133468
MGNT;D;20140925;000000;9971.0000000;10087.6000000;9910.0000000;10000.0000000;191738
MGNT;D;20140926;000000;9956.0000000;10050.0000000;9840.0000000;9957.0000000;129671
MGNT;D;20140929;000000;9959.9000000;9990.0000000;9800.0000000;9845.5000000;122952
MGNT;D;20140930;000000;9848.5000000;9950.0000000;9631.5000000;9920.0000000;194250
MGNT;D;20141001;000000;9877.9000000;9950.0000000;9800.0000000;9884.9000000;163302
MGNT;D;20141002;000000;9821.4000000;9879.9000000;9591.9000000;9770.0000000;220245
MGNT;D;20141003;000000;9810.7000000;9987.0000000;9775.6000000;9987.0000000;186005
MGNT;D;20141006;000000;9991.1000000;10275.0000000;9971.2000000;10256.0000000;226265
MGNT;D;20141007;000000;10240.7000000;10333.4000000;10010.1000000;10059.0000000;123587
MGNT;D;20141008;000000;9982.3000000;9998.7000000;9829.4000000;9998.0000000;146905
MGNT;D;20141009;000000;10050.1000000;10279.8000000;9957.1000000;10245.0000000;205267
MGNT;D;20141010;000000;10140.0000000;10289.0000000;10074.0000000;10280.0000000;132375
MGNT;D;20141013;000000;10285.0000000;10448.4000000;10160.3000000;10260.0000000;164181
MGNT;D;20141014;000000;10205.2000000;10477.0000000;10205.0000000;10390.0000000;151585
MGNT;D;20141015;000000;10388.9000000;10445.0000000;10166.8000000;10218.1000000;148432
MGNT;D;20141016;000000;10224.8000000;10392.8000000;10021.0000000;10150.0000000;191814
MGNT;D;20141017;000000;10195.4000000;10290.0000000;9907.1000000;9980.0000000;207782
MGNT;D;20141020;000000;9980.0000000;10085.0000000;9846.7000000;9949.9000000;121281
MGNT;D;20141021;000000;9918.5000000;10112.9000000;9805.0000000;10085.0000000;154549
MGNT;D;20141022;000000;10100.0000000;10235.3000000;10003.0000000;10080.0000000;144889
MGNT;D;20141023;000000;10039.8000000;10167.3000000;9940.0000000;10150.0000000;120750
MGNT;D;20141024;000000;10078.0000000;10340.0000000;10042.3000000;10180.0000000;145848
MGNT;D;20141027;000000;10322.0000000;10380.0000000;10147.7000000;10240.0000000;124058
MGNT;D;20141028;000000;10240.0000000;10897.0000000;10179.0000000;10897.0000000;264697
MGNT;D;20141029;000000;10870.0000000;11324.0000000;10785.1000000;11205.0000000;317845
MGNT;D;20141030;000000;11155.0000000;11525.0000000;11155.0000000;11370.0000000;301203
MGNT;D;20141031;000000;11460.0000000;11900.0000000;11390.0000000;11900.0000000;245165
MGNT;D;20141103;000000;11810.1000000;12256.8000000;11732.1000000;11849.0000000;110467
MGNT;D;20141105;000000;11747.0000000;11893.9000000;11650.0000000;11855.0000000;161686
MGNT;D;20141106;000000;11747.0000000;12294.7000000;11743.1000000;11930.0000000;249269
MGNT;D;20141107;000000;11930.0000000;12153.8000000;11484.6000000;11750.0000000;331303
MGNT;D;20141110;000000;11850.0000000;12010.0000000;11494.7000000;11750.0000000;148204
MGNT;D;20141111;000000;11771.1000000;11830.0000000;11530.0000000;11600.0000000;122019
MGNT;D;20141112;000000;11637.0000000;11830.0000000;11515.3000000;11830.0000000;112598
MGNT;D;20141113;000000;11800.0000000;11882.3000000;11652.0000000;11790.0000000;96695
MGNT;D;20141114;000000;11705.2000000;11998.7000000;11645.0000000;11850.0000000;110348
MGNT;D;20141117;000000;11810.6000000;11884.8000000;11622.1000000;11750.0000000;80531
MGNT;D;20141118;000000;11720.0000000;11789.9000000;11523.0000000;11789.8000000;119392
MGNT;D;20141119;000000;11705.0000000;11815.0000000;11555.0000000;11640.0000000;91215
MGNT;D;20141120;000000;11639.8000000;11765.0000000;11461.1000000;11700.0000000;108482
MGNT;D;20141121;000000;11700.0000000;11860.0000000;11595.1000000;11752.0000000;115656
MGNT;D;20141124;000000;11782.0000000;11924.0000000;11575.0000000;11899.0000000;136426
MGNT;D;20141125;000000;11871.1000000;11871.1000000;11706.0000000;11850.0000000;62294
MGNT;D;20141126;000000;11787.9000000;11899.9000000;11732.0000000;11899.9000000;132566
MGNT;D;20141127;000000;11853.2000000;11947.8000000;11765.0000000;11845.0000000;125691
MGNT;D;20141128;000000;11844.9000000;11898.0000000;11576.1000000;11795.0000000;311258
MGNT;D;20141201;000000;11740.0000000;12200.0000000;11701.0000000;11840.0000000;321874
MGNT;D;20141202;000000;11850.0000000;12300.0000000;11712.0000000;12300.0000000;274918
MGNT;D;20141203;000000;12251.0000000;12498.0000000;12065.0000000;12299.0000000;281081
MGNT;D;20141204;000000;12270.0000000;12305.0000000;11831.0000000;12010.0000000;288472
MGNT;D;20141205;000000;11961.0000000;12009.0000000;11477.0000000;11525.0000000;278688
MGNT;D;20141208;000000;11557.0000000;11630.0000000;11163.0000000;11404.0000000;218098
MGNT;D;20141209;000000;11363.0000000;11385.0000000;11133.0000000;11201.0000000;222874
MGNT;D;20141210;000000;11302.0000000;11558.0000000;11169.0000000;11350.0000000;257427
MGNT;D;20141211;000000;11281.0000000;11332.0000000;10640.0000000;11000.0000000;364212
MGNT;D;20141212;000000;10935.0000000;11394.0000000;10702.0000000;10770.0000000;416691
MGNT;D;20141215;000000;10710.0000000;10897.0000000;9626.0000000;10195.0000000;623732
MGNT;D;20141216;000000;9984.0000000;10850.0000000;9213.0000000;10600.0000000;757180
MGNT;D;20141217;000000;10550.0000000;10699.0000000;9920.0000000;10050.0000000;444415
MGNT;D;20141218;000000;10040.0000000;11850.0000000;9949.0000000;10600.0000000;567554
MGNT;D;20141219;000000;10600.0000000;10801.0000000;10110.0000000;10400.0000000;338104
MGNT;D;20141222;000000;10506.0000000;10650.0000000;9925.0000000;10000.0000000;183834
MGNT;D;20141223;000000;10000.0000000;10239.0000000;9855.0000000;10100.0000000;122835
MGNT;D;20141224;000000;10100.0000000;10193.0000000;9957.0000000;10005.0000000;63808
MGNT;D;20141225;000000;10058.0000000;10058.0000000;9625.0000000;9964.0000000;51129
MGNT;D;20141226;000000;9995.0000000;10475.0000000;9916.0000000;10292.0000000;41690
MGNT;D;20141229;000000;10157.0000000;11439.0000000;10137.0000000;10160.0000000;141676
MGNT;D;20141230;000000;9977.0000000;10110.0000000;9615.0000000;9701.0000000;102243
MGNT;D;20150105;000000;9755.0000000;10225.0000000;9700.0000000;9877.0000000;98636
MGNT;D;20150106;000000;9932.0000000;10710.0000000;9931.0000000;10400.0000000;259424
MGNT;D;20150108;000000;10451.0000000;11010.0000000;10352.0000000;10627.0000000;208467
MGNT;D;20150109;000000;10724.0000000;10787.0000000;10105.0000000;10542.0000000;176216
MGNT;D;20150112;000000;10489.0000000;10999.0000000;10405.0000000;10689.0000000;165434
MGNT;D;20150113;000000;10685.0000000;11271.0000000;10521.0000000;11180.0000000;145672
MGNT;D;20150114;000000;11150.0000000;11480.0000000;11147.0000000;11450.0000000;183088
MGNT;D;20150115;000000;11450.0000000;11689.0000000;11257.0000000;11304.0000000;183077
MGNT;D;20150116;000000;11304.0000000;11450.0000000;11122.0000000;11350.0000000;156920
MGNT;D;20150119;000000;11295.0000000;11480.0000000;11211.0000000;11235.0000000;136224
MGNT;D;20150120;000000;11194.0000000;11420.0000000;11082.0000000;11395.0000000;130355
MGNT;D;20150121;000000;11361.0000000;11870.0000000;11302.0000000;11855.0000000;151599
MGNT;D;20150122;000000;11880.0000000;12346.0000000;11722.0000000;12070.0000000;157124
MGNT;D;20150123;000000;12038.0000000;12332.0000000;11680.0000000;11750.0000000;163065
MGNT;D;20150126;000000;11649.0000000;11714.0000000;11317.0000000;11540.0000000;181620
MGNT;D;20150127;000000;11460.0000000;11530.0000000;11150.0000000;11270.0000000;183094
MGNT;D;20150128;000000;11299.0000000;11410.0000000;10122.0000000;10200.0000000;255556
MGNT;D;20150129;000000;10123.0000000;10850.0000000;10052.0000000;10550.0000000;225457
MGNT;D;20150130;000000;10575.0000000;10937.0000000;10515.0000000;10590.0000000;164331
MGNT;D;20150202;000000;10720.0000000;10752.0000000;10190.0000000;10190.0000000;126255
MGNT;D;20150203;000000;10317.0000000;10646.0000000;10175.0000000;10400.0000000;112824
MGNT;D;20150204;000000;10501.0000000;10523.0000000;10150.0000000;10340.0000000;95601
MGNT;D;20150205;000000;10040.0000000;10392.0000000;9951.0000000;10235.0000000;369086
MGNT;D;20150206;000000;10305.0000000;11180.0000000;10200.0000000;11075.0000000;335110
MGNT;D;20150209;000000;11076.0000000;11813.0000000;10950.0000000;11440.0000000;388679
MGNT;D;20150210;000000;11400.0000000;11575.0000000;11350.0000000;11490.0000000;109153
MGNT;D;20150211;000000;11550.0000000;11680.0000000;11461.0000000;11500.0000000;148741
MGNT;D;20150212;000000;11597.0000000;12248.0000000;11251.0000000;11855.0000000;364569
MGNT;D;20150213;000000;11950.0000000;12298.0000000;11949.0000000;12250.0000000;280351
MGNT;D;20150216;000000;12270.0000000;12270.0000000;11780.0000000;11920.0000000;158770
MGNT;D;20150217;000000;11862.0000000;12120.0000000;11735.0000000;11820.0000000;113727
MGNT;D;20150218;000000;11885.0000000;11950.0000000;11646.0000000;11766.0000000;174112
MGNT;D;20150219;000000;11770.0000000;11889.0000000;11612.0000000;11800.0000000;101395
MGNT;D;20150220;000000;11828.0000000;11926.0000000;11703.0000000;11796.0000000;87142
MGNT;D;20150224;000000;11740.0000000;11800.0000000;11401.0000000;11687.0000000;127921
MGNT;D;20150225;000000;11651.0000000;11653.0000000;11289.0000000;11510.0000000;96235
MGNT;D;20150226;000000;11555.0000000;11630.0000000;11362.0000000;11574.0000000;79396
MGNT;D;20150227;000000;11471.0000000;11500.0000000;11160.0000000;11305.0000000;93147
MGNT;D;20150302;000000;11426.0000000;11510.0000000;11265.0000000;11367.0000000;85057
MGNT;D;20150303;000000;11400.0000000;11810.0000000;11343.0000000;11650.0000000;143821
MGNT;D;20150304;000000;11635.0000000;11651.0000000;11060.0000000;11100.0000000;98212
MGNT;D;20150305;000000;11170.0000000;11560.0000000;11054.0000000;11360.0000000;104956
MGNT;D;20150306;000000;11380.0000000;11399.0000000;11178.0000000;11347.0000000;79401
MGNT;D;20150310;000000;11290.0000000;11345.0000000;10612.0000000;10820.0000000;200567
MGNT;D;20150311;000000;10864.0000000;10989.0000000;10650.0000000;10835.0000000;92446
MGNT;D;20150312;000000;10824.0000000;10884.0000000;10452.0000000;10600.0000000;135981
MGNT;D;20150313;000000;10550.0000000;10599.0000000;10233.0000000;10350.0000000;125865
MGNT;D;20150316;000000;10285.0000000;10575.0000000;10216.0000000;10350.0000000;130573
MGNT;D;20150317;000000;10434.0000000;10567.0000000;10256.0000000;10360.0000000;83353
MGNT;D;20150318;000000;10381.0000000;10810.0000000;10313.0000000;10699.0000000;101933
MGNT;D;20150319;000000;10809.0000000;10985.0000000;10500.0000000;10500.0000000;120340
MGNT;D;20150320;000000;10480.0000000;10900.0000000;10201.0000000;10900.0000000;104587
MGNT;D;20150323;000000;10875.0000000;10957.0000000;10519.0000000;10550.0000000;69871
MGNT;D;20150324;000000;10586.0000000;10875.0000000;10500.0000000;10798.0000000;69485
MGNT;D;20150325;000000;10806.0000000;11020.0000000;10733.0000000;11000.0000000;104477
MGNT;D;20150326;000000;11034.0000000;11297.0000000;10873.0000000;11140.0000000;159687
MGNT;D;20150327;000000;11140.0000000;11170.0000000;10930.0000000;11038.0000000;96370
MGNT;D;20150330;000000;11043.0000000;11305.0000000;11038.0000000;11185.0000000;92775
MGNT;D;20150331;000000;11215.0000000;11507.0000000;11140.0000000;11350.0000000;106528
MGNT;D;20150401;000000;11351.0000000;11790.0000000;11300.0000000;11750.0000000;148885
MGNT;D;20150402;000000;11760.0000000;12000.0000000;11629.0000000;11971.0000000;140064
MGNT;D;20150403;000000;11970.0000000;12020.0000000;11799.0000000;11799.0000000;48669
